run,commits,criterion_3,criterion_5,criterion_6,criterion_7
run-10-rep-05,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,18,Fail,Unverifiable,Pass,Unverifiable
run-10-rep-05,19,Pass,Unverifiable,Pass,Pass
run-10-rep-05,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,1,Pass,Unverifiable,Pass,Pass
run-11,2,Pass,Unverifiable,Pass,Unverifiable
run-11,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,4,Pass,Pass,Pass,Pass
run-11,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,6,Fail,Unverifiable,Pass,Unverifiable
run-11,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,8,Pass,Unverifiable,Pass,Pass
run-11,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,18,Pass,Unverifiable,Unverifiable,Unverifiable
run-11,19,Pass,Unverifiable,Pass,Pass
run-11,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,1,Pass,Unverifiable,Pass,Pass
run-11-rep-01,2,Pass,Unverifiable,Pass,Unverifiable
run-11-rep-01,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,4,Pass,Pass,Pass,Pass
run-11-rep-01,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,6,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,8,Pass,Unverifiable,Pass,Pass
run-11-rep-01,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-01,18,Fail,Unverifiable,Pass,Unverifiable
run-11-rep-01,19,Pass,Unverifiable,Pass,Pass
run-11-rep-01,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,1,Pass,Unverifiable,Pass,Pass
run-11-rep-02,2,Pass,Unverifiable,Pass,Unverifiable
run-11-rep-02,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,4,Pass,Pass,Pass,Pass
run-11-rep-02,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,6,Fail,Unverifiable,Pass,Unverifiable
run-11-rep-02,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,8,Pass,Unverifiable,Pass,Pass
run-11-rep-02,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,14,Pass,Unverifiable,Unverifiable,Unverifiable
